人	B
民	M
网	E
1	B
月	M
1	M
日	E
讯	S
据	S
《	S
纽	B
约	E
时	B
报	E
》	S
报	B
道	E
，	S
美	B
国	E
华	B
尔	M
街	E
股	B
市	E
在	S
2	B
0	M
1	M
3	M
年	E
的	S
最	B
后	E
一	B
天	E
继	B
续	E
上	B
涨	E
，	S
和	S
全	B
球	E
股	B
市	E
一	B
样	E
，	S
都	S
以	S
最	B
高	E
纪	B
录	E
或	S
接	B
近	E
最	B
高	E
纪	B
录	E
结	B
束	E
本	S
年	S
的	S
交	B
易	E
。	S

《	S
纽	B
约	E
时	B
报	E
》	S
报	B
道	E
说	S
，	S
标	B
普	E
5	B
0	M
0	E
指	B
数	E
今	B
年	E
上	B
升	E
2	B
9	M
.	M
6	M
%	E
，	S
为	S
1	B
9	M
9	M
7	M
年	E
以	B
来	E
的	S
最	B
大	E
涨	B
幅	E
；	S
道	B
琼	M
斯	E
工	B
业	E
平	B
均	E
指	B
数	E
上	B
升	E
2	B
6	M
.	M
5	M
%	E
，	S
为	S
1	B
9	M
9	M
6	M
年	E
以	B
来	E
的	S
最	B
大	E
涨	B
幅	E
；	S
纳	B
斯	E
达	S
克	S
上	B
涨	E
3	B
8	M
.	M
3	M
%	E
。	S

就	S
1	B
2	M
月	M
3	M
1	M
日	E
来	B
说	E
，	S
由	B
于	E
就	B
业	E
前	B
景	E
看	B
好	E
和	S
经	B
济	E
增	B
长	E
明	B
年	E
可	B
能	E
加	B
速	E
，	S
消	B
费	M
者	E
信	B
心	E
上	B
升	E
。	S
工	B
商	E
协	B
进	M
会	E
（	S
C	B
B	E
）	S
报	B
告	E
，	S
1	B
2	M
月	E
消	B
费	M
者	E
信	B
心	E
上	B
升	E
到	S
7	B
8	M
.	M
1	E
，	S
明	B
显	E
高	B
于	E
1	B
1	M
月	E
的	S
7	B
2	E
。	S

另	B
据	E
《	S
华	B
尔	M
街	E
日	B
报	E
》	S
报	B
道	E
，	S
2	B
0	M
1	M
3	M
年	E
是	S
1	B
9	M
9	M
5	M
年	E
以	B
来	E
美	B
国	E
股	B
市	E
表	B
现	E
最	B
好	E
的	S
一	B
年	E
。	S
这	S
一	B
年	E
里	S
，	S
投	B
资	E
美	B
国	E
股	B
市	E
的	S
明	B
智	E
做	B
法	E
是	S
追	S
着	S
“	S
傻	B
钱	E
”	S
跑	S
。	S
所	B
谓	E
的	S
“	S
傻	B
钱	E
”	S
策	B
略	E
，	S
其	B
实	E
就	B
是	E
买	B
入	E
并	S
持	B
有	E
美	B
国	E
股	B
票	E
这	B
样	E
的	S
普	B
通	E
组	B
合	E
。	S
这	B
个	E
策	B
略	E
要	S
比	S
对	B
冲	E
基	B
金	E
和	S
其	B
它	E
专	B
业	E
投	B
资	M
者	E
使	B
用	E
的	S
更	B
为	E
复	B
杂	E
的	S
投	B
资	E
方	B
法	E
效	B
果	E
好	S
得	B
3	E
多	S
。	S
（	S
老	S
任	S
）	S

人	B
民	M
网	E
平	B
壤	E
1	B
月	M
1	M
日	E
电	S
（	S
记	B
者	E
王	B
莉	E
、	S
程	B
维	M
丹	E
）	S
朝	B
鲜	E
最	B
高	E
领	B
导	M
人	E
金	B
正	M
恩	E
1	B
日	E
通	B
过	E
朝	B
鲜	E
各	S
大	B
媒	M
体	E
发	B
表	E
